,text,level,text_cleaned,label
0,"Vamos a ver una película, Anthony.
Eso suena genial, Lisa.
¿Qué quieres ver?
Veamos algo gracioso.
¿Conoces uno bueno?
Sí, pero elijamos uno que nos guste a los dos.
Está bien. Podemos buscar en línea.
Es una gran idea, Lisa.",A1,"Vamos a ver una película, Anthony.
Eso suena genial, Lisa.
¿Qué quieres ver?
Veamos algo gracioso.
¿Conoces uno bueno?
Sí, pero elijamos uno que nos guste a los dos.
Está bien. Podemos buscar en línea.
Es una gran idea, Lisa.",0
1,"Todos los años vamos a Florida. Nos gusta ir a la playa.
Mi playa favorita se llama Emerson Beach. Es muy larga, con arena suave y palmeras. Es muy hermoso. Me gusta hacer castillos de arena y ver pasar los veleros. ¡A veces hay delfines y ballenas en el agua!
Todas las mañanas buscamos conchas en la arena. Encontré quince conchas grandes el año pasado. Las puse en un lugar especial en mi habitación. Este año quiero aprender a surfear. Es difícil surfear, pero ¡tan divertido! Mi hermana es una buena surfista. Dice que puede enseñarme. ¡Espero que pueda hacerlo!",A1,"Todos los años vamos a Florida. Nos gusta ir a la playa.
Mi playa favorita se llama Emerson Beach. Es muy larga, con arena suave y palmeras. Es muy hermoso. Me gusta hacer castillos de arena y ver pasar los veleros. ¡A veces hay delfines y ballenas en el agua!
Todas las mañanas buscamos conchas en la arena. Encontré quince conchas grandes el año pasado. Las puse en un lugar especial en mi habitación. Este año quiero aprender a surfear. Es difícil surfear, pero ¡tan divertido! Mi hermana es una buena surfista. Dice que puede enseñarme. ¡Espero que pueda hacerlo!",0
2,"Paula tiene cáncer. Le quedan seis meses de vida. Sus médicos no pueden ayudarla. Nadie puede ayudarla. Fumó cigarrillos durante 30 años. No quería dejar de fumar cigarrillos. Le gustaba fumar cigarrillos. Los médicos le dijeron que dejara de fumar hace muchos años. Ella no los escuchó. No escuchó a sus padres. No escuchó a sus hijos. No escuchó a sus amigos. Todos le dijeron que dejara de fumar. Le dijo a todos que dejaran de preocuparse por ella. Ella estaría bien, les dijo. Todavía fuma todos los días. ¿Por qué no?, pregunta.",A1,"Paula tiene cáncer. Le quedan seis meses de vida. Sus médicos no pueden ayudarla. Nadie puede ayudarla. Fumó cigarrillos durante 30 años. No quería dejar de fumar cigarrillos. Le gustaba fumar cigarrillos. Los médicos le dijeron que dejara de fumar hace muchos años. Ella no los escuchó. No escuchó a sus padres. No escuchó a sus hijos. No escuchó a sus amigos. Todos le dijeron que dejara de fumar. Le dijo a todos que dejaran de preocuparse por ella. Ella estaría bien, les dijo. Todavía fuma todos los días. ¿Por qué no?, pregunta.",0
3,"Hay una gran rotura aquí.
¡Pero hay cinta en ella!
¿Pusiste la cinta ahí?
No, estaba allí antes.
Sé que me estás mintiendo.
Si lo sabes, ¿entonces por qué preguntas si puse la cinta?
Quería ver si eras un mentiroso o no.
¿Cómo sabes que miento?
Antes de revisar el libro, el bibliotecario lo revisa por daños.
Vaya, ustedes piensen en todo.
Sí. De todos modos, debes $10.
Bien, aquí tienes.",A1,"Hay una gran rotura aquí.
¡Pero hay cinta en ella!
¿Pusiste la cinta ahí?
No, estaba allí antes.
Sé que me estás mintiendo.
Si lo sabes, ¿entonces por qué preguntas si puse la cinta?
Quería ver si eras un mentiroso o no.
¿Cómo sabes que miento?
Antes de revisar el libro, el bibliotecario lo revisa por daños.
Vaya, ustedes piensen en todo.
Sí. De todos modos, debes $10.
Bien, aquí tienes.",0
4,"Patty tiene una muñeca para Navidad. Es su muñeca favorita. Es una muñeca de trapo. Tiene un vestido amarillo. Tiene una blusa azul. El nombre de la muñeca es Molly. Molly tiene el pelo rojo brillante. Tiene los labios rojos. Tiene ojos azules. Tiene una cinta rosa en el pelo. Molly lleva zapatos rojos. Lleva calcetines blancos. Molly tiene un bolso. Su bolso es rosa. El bolso está vacío. No hay nada en el bolso. Había un pequeño espejo en el bolso. Pero Patty perdió el espejo. Cuando perdió el espejo, dijo: ""Lo siento, Molly. Te conseguiré otro espejo.""",A1,"Patty tiene una muñeca para Navidad. Es su muñeca favorita. Es una muñeca de trapo. Tiene un vestido amarillo. Tiene una blusa azul. El nombre de la muñeca es Molly. Molly tiene el pelo rojo brillante. Tiene los labios rojos. Tiene ojos azules. Tiene una cinta rosa en el pelo. Molly lleva zapatos rojos. Lleva calcetines blancos. Molly tiene un bolso. Su bolso es rosa. El bolso está vacío. No hay nada en el bolso. Había un pequeño espejo en el bolso. Pero Patty perdió el espejo. Cuando perdió el espejo, dijo: ""Lo siento, Molly. Te conseguiré otro espejo.""",0
5,"Pat miró la lavadora. La lavadora tenía marcas. Tenía dos esferas. Había palabras al lado de cada dial. Cada dial tenía tres palabras al lado. Las palabras al lado de un dial eran pequeñas, medianas y grandes. Este dial era para el tamaño de la carga. ¿Pat tenía una carga pequeña, una carga media o una carga grande? Las palabras al lado del otro dial eran Frío, Caliente y Caliente. ¿Pat quería lavar su ropa en agua fría, agua tibia o agua caliente? Pat convirtió un dial a Grande, y el otro dial a Caliente. Luego apretó el botón Inicio en la lavadora.",A1,"Pat miró la lavadora. La lavadora tenía marcas. Tenía dos esferas. Había palabras al lado de cada dial. Cada dial tenía tres palabras al lado. Las palabras al lado de un dial eran pequeñas, medianas y grandes. Este dial era para el tamaño de la carga. ¿Pat tenía una carga pequeña, una carga media o una carga grande? Las palabras al lado del otro dial eran Frío, Caliente y Caliente. ¿Pat quería lavar su ropa en agua fría, agua tibia o agua caliente? Pat convirtió un dial a Grande, y el otro dial a Caliente. Luego apretó el botón Inicio en la lavadora.",0
6,"A Herman no le gustaba su nombre de pila. Nunca le había gustado. Quería cambiarlo. Le preguntó a su madre. Dijo que era demasiado tarde para cambiarle el nombre. Dijo que le vendría bien su segundo nombre. Ella lo llamaba por su segundo nombre. Ella le preguntó si estaba bien. Herman dijo que sí. ""De ahora en adelante,"" dijo, ""por favor llámame por mi segundo nombre. De ahora en adelante, por favor llámame Adam."" Su madre dijo que eso no era problema. ""Adiós, Herman"", dijo, ""y hola, Adam"". Cuando el padre de Adam llegó a casa del trabajo, la madre de Adam dijo, ""¿Adivina qué? Tenemos un nuevo hijo"".",A1,"A Herman no le gustaba su nombre de pila. Nunca le había gustado. Quería cambiarlo. Le preguntó a su madre. Dijo que era demasiado tarde para cambiarle el nombre. Dijo que le vendría bien su segundo nombre. Ella lo llamaba por su segundo nombre. Ella le preguntó si estaba bien. Herman dijo que sí. ""De ahora en adelante,"" dijo, ""por favor llámame por mi segundo nombre. De ahora en adelante, por favor llámame Adam."" Su madre dijo que eso no era problema. ""Adiós, Herman"", dijo, ""y hola, Adam"". Cuando el padre de Adam llegó a casa del trabajo, la madre de Adam dijo, ""¿Adivina qué? Tenemos un nuevo hijo"".",0
7,"
¿Puedes echarme una mano, Nancy?
Claro, papá. ¿Qué puedo hacer?
Necesito cambiar un neumático.
De acuerdo. Me encantaría ayudar.
Pásame esa herramienta, querida.
Aquí está, papá.
Eres un buen ayudante.
Gracias, papá.",A1,"¿Puedes echarme una mano, Nancy?
Claro, papá. ¿Qué puedo hacer?
Necesito cambiar un neumático.
De acuerdo. Me encantaría ayudar.
Pásame esa herramienta, querida.
Aquí está, papá.
Eres un buen ayudante.
Gracias, papá.",0
8,"Debby estaba en primer grado. Su hermano Tommy estaba en segundo grado. Vivían en Florida. Vivían en un pequeño pueblo de Florida. Caminaron a la escuela por la mañana. Caminaron a casa desde la escuela por la tarde. El lunes Debby y Tommy estaban caminando a casa. Estaban caminando con un par de amigos de Tommy. Tommy le dijo a sus amigos que Debby todavía le chupó el pulgar. ""Todavía se chupa el pulgar"", dijo. Sus amigos se rieron. Debby empezó a llorar. Huyó de Tommy y sus amigos. Cuando Tommy llegó a casa, su madre preguntó, ""¿Dónde está Debby?"" Tommy dijo que no lo sabía. Pensó que ya estaba en casa. ""No, no está en casa"", dijo su madre. Llamó a los vecinos. Luego llamó a la policía.",A1,"Debby estaba en primer grado. Su hermano Tommy estaba en segundo grado. Vivían en Florida. Vivían en un pequeño pueblo de Florida. Caminaron a la escuela por la mañana. Caminaron a casa desde la escuela por la tarde. El lunes Debby y Tommy estaban caminando a casa. Estaban caminando con un par de amigos de Tommy. Tommy le dijo a sus amigos que Debby todavía le chupó el pulgar. ""Todavía se chupa el pulgar"", dijo. Sus amigos se rieron. Debby empezó a llorar. Huyó de Tommy y sus amigos. Cuando Tommy llegó a casa, su madre preguntó, ""¿Dónde está Debby?"" Tommy dijo que no lo sabía. Pensó que ya estaba en casa. ""No, no está en casa"", dijo su madre. Llamó a los vecinos. Luego llamó a la policía.",0
9,"¿Te gustaría ir a ver una película mañana por la noche?
Estoy ocupado mañana por la noche, pero estoy libre la noche siguiente.
¡Eso es genial! ¿A qué hora debo recogerte?
8 p.m. sería genial.
Bueno, a las 8 p.m. lo es. ¿Qué película te gustaría ver?
No estoy seguro. ¿Qué películas están fuera en este momento?
En realidad no lo sé. ¿Qué tal si elegimos cuando lleguemos allí?
Claro, eso suena genial.
Vale, ¿debería recogerte en tu casa? ¿O quieres que nos veamos en algún lugar?
Vivo en la escuela; si quieres, podríamos vernos allí.
Claro. Conduzco un Nissan Sentra blanco. Te enviaré un mensaje más tarde, ¿de acuerdo?
Eso suena genial. Estaré esperando tu mensaje.",A1,"¿Te gustaría ir a ver una película mañana por la noche?
Estoy ocupado mañana por la noche, pero estoy libre la noche siguiente.
¡Eso es genial! ¿A qué hora debo recogerte?
8 p.m. sería genial.
Bueno, a las 8 p.m. lo es. ¿Qué película te gustaría ver?
No estoy seguro. ¿Qué películas están fuera en este momento?
En realidad no lo sé. ¿Qué tal si elegimos cuando lleguemos allí?
Claro, eso suena genial.
Vale, ¿debería recogerte en tu casa? ¿O quieres que nos veamos en algún lugar?
Vivo en la escuela; si quieres, podríamos vernos allí.
Claro. Conduzco un Nissan Sentra blanco. Te enviaré un mensaje más tarde, ¿de acuerdo?
Eso suena genial. Estaré esperando tu mensaje.",0
